SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_6,adm2_3,adm2_7,adm2_8,adm2_1,adm2_4,adm2_5
29550,574,1,34,26,3,NA,NA,1905,0,5,0,0,0,0,0,0,0,1
29633,9969,1,28,11,2,NA,NA,1947,0,1,0,0,0,0,0,1,0,0
29656,11383,1,28,6,6,NA,NA,1229,0,6,0,1,0,0,0,0,0,0
29667,4980,1,46,13,4,NA,NA,1519,0,5,0,0,0,0,0,0,0,1
29733,4768,1,29,12,3,NA,NA,1708,0,1,0,0,0,0,0,1,0,0
29795,3614,1,45,25,6,NA,NA,1825,0,4,0,0,0,0,0,0,1,0
29805,7151,1,61,13,4,NA,NA,1416,0,1,0,0,0,0,0,1,0,0
29826,9324,1,28,8,5,NA,NA,1290,0,6,0,1,0,0,0,0,0,0
29850,1191,1,33,31,7,NA,NA,1613,1,1,0,0,0,0,0,1,0,0
29887,892,1,42,6,4,NA,NA,1482,0,6,0,1,0,0,0,0,0,0
29932,1695,1,38,25,6,NA,NA,1458,0,4,0,0,0,0,0,0,1,0
30008,4149,1,36,13,4,NA,NA,1275,0,5,0,0,0,0,0,0,0,1
30086,5539,1,24,14,1,NA,NA,2013,1,4,0,0,0,0,0,0,1,0
30124,8148,1,28,8,4,NA,NA,1582,0,2,1,0,0,0,0,0,0,0
30202,4136,1,52,26,3,NA,NA,1431,0,5,0,0,0,0,0,0,0,1
30251,5167,1,60,7,1,NA,NA,2082,1,3,0,0,1,0,0,0,0,0
30275,1583,1,62,25,2,NA,NA,1694,0,5,0,0,0,0,0,0,0,1
30288,1193,1,45,13,4,NA,NA,1704,0,5,0,0,0,0,0,0,0,1
30302,5358,1,55,23,6,NA,NA,1890,0,1,0,0,0,0,0,1,0,0
30404,9975,1,36,6,4,NA,NA,1165,0,1,0,0,0,0,0,1,0,0
30442,5932,1,38,29,7,NA,NA,1624,1,3,0,0,1,0,0,0,0,0
30459,7054,1,35,22,7,NA,NA,2034,1,7,0,0,0,1,0,0,0,0
30469,6084,1,36,8,4,NA,NA,1539,0,2,1,0,0,0,0,0,0,0
30475,9458,1,24,26,1,NA,NA,1737,1,7,0,0,0,1,0,0,0,0
30503,10256,1,42,2,4,NA,NA,1994,0,1,0,0,0,0,0,1,0,0
30530,6543,1,52,21,6,NA,NA,1412,0,8,0,0,0,0,1,0,0,0
30551,6799,1,80,28,4,NA,NA,916,0,6,0,1,0,0,0,0,0,0
30562,393,1,32,10,7,NA,NA,1185,1,6,0,1,0,0,0,0,0,0
30605,4092,1,18,13,4,NA,NA,1914,0,5,0,0,0,0,0,0,0,1
30713,3837,1,52,2,6,NA,NA,1771,0,3,0,0,1,0,0,0,0,0
30741,8668,1,40,25,2,NA,NA,1538,0,5,0,0,0,0,0,0,0,1
30754,10887,1,31,14,1,NA,NA,2257,1,4,0,0,0,0,0,0,1,0
30768,10471,1,72,17,4,NA,NA,1200,0,3,0,0,1,0,0,0,0,0
30828,10008,1,34,7,1,NA,NA,2485,1,3,0,0,1,0,0,0,0,0
30898,5035,1,18,9,7,NA,NA,340,1,6,0,1,0,0,0,0,0,0
30902,1261,1,54,27,1,NA,NA,799,1,4,0,0,0,0,0,0,1,0
30916,2656,1,78,22,6,NA,NA,1538,0,5,0,0,0,0,0,0,0,1
30930,3007,1,57,6,4,NA,NA,1995,0,6,0,1,0,0,0,0,0,0
31012,4908,1,32,5,2,NA,NA,1443,0,8,0,0,0,0,1,0,0,0
31014,5486,1,25,12,7,NA,NA,2010,1,4,0,0,0,0,0,0,1,0
31043,6490,1,20,23,6,NA,NA,2036,0,1,0,0,0,0,0,1,0,0
31204,7459,1,70,29,7,NA,NA,1674,1,3,0,0,1,0,0,0,0,0
31282,151,1,20,22,6,NA,NA,1698,0,5,0,0,0,0,0,0,0,1
31288,2353,1,47,26,1,NA,NA,1090,1,3,0,0,1,0,0,0,0,0
31298,9574,1,19,6,4,NA,NA,1638,0,6,0,1,0,0,0,0,0,0
31321,6199,1,18,15,3,NA,NA,1451,0,4,0,0,0,0,0,0,1,0
31330,11562,1,64,23,6,NA,NA,2219,0,1,0,0,0,0,0,1,0,0
31364,7047,1,31,14,3,NA,NA,1420,0,2,1,0,0,0,0,0,0,0
31461,4067,1,52,26,3,NA,NA,1003,0,5,0,0,0,0,0,0,0,1
31487,8995,1,18,26,3,NA,NA,1387,0,5,0,0,0,0,0,0,0,1
31494,11419,1,44,9,3,NA,NA,1999,0,4,0,0,0,0,0,0,1,0
31559,6691,1,28,15,6,NA,NA,1542,0,1,0,0,0,0,0,1,0,0
31682,10978,1,40,21,1,NA,NA,2041,1,3,0,0,1,0,0,0,0,0
31720,6054,1,35,15,3,NA,NA,1586,0,4,0,0,0,0,0,0,1,0
31730,3824,1,50,25,7,NA,NA,1658,1,7,0,0,0,1,0,0,0,0
31771,2063,1,70,22,7,NA,NA,1596,1,8,0,0,0,0,1,0,0,0
31889,4971,1,70,11,7,NA,NA,1193,1,1,0,0,0,0,0,1,0,0
31973,4278,1,37,7,4,NA,NA,1297,0,8,0,0,0,0,1,0,0,0
32075,9370,1,65,30,6,NA,NA,1786,0,6,0,1,0,0,0,0,0,0
32140,3812,1,26,9,3,NA,NA,2160,0,4,0,0,0,0,0,0,1,0
32210,7105,1,28,22,6,NA,NA,1660,0,5,0,0,0,0,0,0,0,1
32281,3698,1,64,13,4,NA,NA,1598,0,1,0,0,0,0,0,1,0,0
32336,3804,1,45,5,2,NA,NA,1129,0,8,0,0,0,0,1,0,0,0
32376,5889,1,51,9,5,NA,NA,1383,0,2,1,0,0,0,0,0,0,0
32391,8817,1,85,25,6,NA,NA,730,0,1,0,0,0,0,0,1,0,0
32485,872,1,35,24,2,NA,NA,572,0,3,0,0,1,0,0,0,0,0
32491,2186,1,18,6,3,NA,NA,1530,0,8,0,0,0,0,1,0,0,0
32555,1254,1,65,23,7,NA,NA,1775,1,5,0,0,0,0,0,0,0,1
32566,9209,1,26,24,5,NA,NA,1937,0,4,0,0,0,0,0,0,1,0
32569,2234,1,22,22,6,NA,NA,1418,0,5,0,0,0,0,0,0,0,1
32577,11175,1,44,8,6,NA,NA,1356,0,6,0,1,0,0,0,0,0,0
32723,4670,1,90,28,6,NA,NA,1413,0,3,0,0,1,0,0,0,0,0
32738,8817,1,38,25,6,NA,NA,1601,0,1,0,0,0,0,0,1,0,0
32768,1206,1,40,10,1,NA,NA,1361,1,6,0,1,0,0,0,0,0,0
32866,4208,1,60,12,2,NA,NA,968,0,8,0,0,0,0,1,0,0,0
32913,5106,1,36,28,3,NA,NA,1877,0,3,0,0,1,0,0,0,0,0
32926,7156,1,57,29,7,NA,NA,1680,1,3,0,0,1,0,0,0,0,0
32938,9424,1,33,8,4,NA,NA,1983,0,2,1,0,0,0,0,0,0,0
32939,11332,1,32,21,6,NA,NA,1827,0,8,0,0,0,0,1,0,0,0
32959,2615,1,30,12,3,NA,NA,2215,0,1,0,0,0,0,0,1,0,0
32967,407,1,70,23,1,NA,NA,765,1,8,0,0,0,0,1,0,0,0
33013,11570,1,55,26,2,NA,NA,1760,0,1,0,0,0,0,0,1,0,0
33054,9309,1,49,2,2,NA,NA,1740,0,6,0,1,0,0,0,0,0,0
33065,8191,1,42,5,7,NA,NA,1630,1,3,0,0,1,0,0,0,0,0
33072,9831,1,18,29,4,NA,NA,1119,0,7,0,0,0,1,0,0,0,0
33097,1952,1,53,5,7,NA,NA,1083,1,3,0,0,1,0,0,0,0,0
33103,9123,1,32,8,4,NA,NA,1571,0,1,0,0,0,0,0,1,0,0
33167,8454,1,56,21,4,NA,NA,1693,0,1,0,0,0,0,0,1,0,0
33174,4231,1,39,8,5,NA,NA,2097,0,6,0,1,0,0,0,0,0,0
33177,4640,1,35,8,2,NA,NA,2198,0,3,0,0,1,0,0,0,0,0
33188,7979,1,19,31,7,NA,NA,1536,1,1,0,0,0,0,0,1,0,0
33207,3451,1,27,26,7,NA,NA,1983,1,1,0,0,0,0,0,1,0,0
33269,7415,1,50,5,7,NA,NA,2205,1,7,0,0,0,1,0,0,0,0
33296,2126,1,40,28,4,NA,NA,2451,0,7,0,0,0,1,0,0,0,0
33321,9225,1,33,11,5,NA,NA,1522,0,4,0,0,0,0,0,0,1,0
33462,3645,1,40,17,6,NA,NA,1375,0,2,1,0,0,0,0,0,0,0
33496,151,1,27,22,6,NA,NA,1892,0,5,0,0,0,0,0,0,0,1
33557,10193,1,42,10,4,NA,NA,881,0,4,0,0,0,0,0,0,1,0
33599,3514,1,23,9,6,NA,NA,1099,0,8,0,0,0,0,1,0,0,0
33663,3420,1,34,6,4,NA,NA,1948,0,6,0,1,0,0,0,0,0,0
33728,7425,1,60,5,2,NA,NA,851,0,8,0,0,0,0,1,0,0,0
33760,8694,1,52,8,4,NA,NA,1498,0,2,1,0,0,0,0,0,0,0
33777,6258,1,55,16,4,NA,NA,1459,0,3,0,0,1,0,0,0,0,0
33784,10161,1,57,25,3,NA,NA,1579,0,8,0,0,0,0,1,0,0,0
33866,7156,1,26,29,7,NA,NA,2089,1,3,0,0,1,0,0,0,0,0
33922,2712,1,52,6,7,NA,NA,1770,1,4,0,0,0,0,0,0,1,0
33981,131,1,34,21,4,NA,NA,1835,0,1,0,0,0,0,0,1,0,0
34003,2224,1,20,13,4,NA,NA,1518,0,5,0,0,0,0,0,0,0,1
34010,5101,1,45,16,4,NA,NA,1963,0,3,0,0,1,0,0,0,0,0
34044,10469,1,42,15,6,NA,NA,2342,0,1,0,0,0,0,0,1,0,0
34070,3208,1,55,12,2,NA,NA,878,0,8,0,0,0,0,1,0,0,0
