SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_6,adm2_2,adm2_7,adm2_4,adm2_3,adm2_5,adm2_8
6496,9030,2,31,1,2,1,NA,2869,0,4,0,0,0,0,1,0,0,0
6520,5550,2,26,29,6,1,NA,818,0,4,0,0,0,0,1,0,0,0
6533,9327,2,40,18,3,1,NA,2108,0,8,0,0,0,0,0,0,0,1
6562,3513,2,45,16,6,1,NA,1517,0,7,0,0,0,1,0,0,0,0
6567,5823,2,40,12,3,1,NA,1687,0,7,0,0,0,1,0,0,0,0
6627,11266,2,20,21,6,1,NA,813,0,2,0,0,1,0,0,0,0,0
6632,2981,2,22,28,7,1,NA,1870,1,3,0,0,0,0,0,1,0,0
6635,10907,2,45,22,4,1,NA,1814,0,4,0,0,0,0,1,0,0,0
6721,11481,2,35,23,2,1,NA,2183,0,2,0,0,1,0,0,0,0,0
6736,2421,2,24,24,2,1,NA,779,0,8,0,0,0,0,0,0,0,1
6748,2789,2,45,22,4,1,NA,1934,0,4,0,0,0,0,1,0,0,0
6809,3539,2,27,20,1,1,NA,2100,1,3,0,0,0,0,0,1,0,0
6865,1371,2,30,19,7,1,NA,1826,1,1,1,0,0,0,0,0,0,0
6866,48,2,65,29,6,0,NA,979,0,1,1,0,0,0,0,0,0,0
6876,6113,2,25,27,2,1,NA,1474,0,7,0,0,0,1,0,0,0,0
6928,184,2,55,31,2,0,NA,1348,0,2,0,0,1,0,0,0,0,0
6932,6936,2,50,7,5,0,NA,2947,0,8,0,0,0,0,0,0,0,1
6944,4370,2,40,4,5,1,NA,1730,0,4,0,0,0,0,1,0,0,0
6949,6344,2,23,4,4,1,NA,1318,0,4,0,0,0,0,1,0,0,0
6980,2948,2,19,16,4,1,NA,1255,0,1,1,0,0,0,0,0,0,0
7025,3915,2,38,26,3,1,NA,2213,0,4,0,0,0,0,1,0,0,0
7037,1686,2,24,13,1,1,NA,1999,1,5,0,0,0,0,0,0,1,0
7084,5510,2,32,29,5,1,NA,2594,0,4,0,0,0,0,1,0,0,0
7138,10513,2,26,4,5,1,NA,2150,0,4,0,0,0,0,1,0,0,0
7175,5416,2,23,18,7,1,NA,1741,1,3,0,0,0,0,0,1,0,0
7193,9290,2,58,18,3,0,NA,1474,0,3,0,0,0,0,0,1,0,0
7200,1607,2,20,2,3,1,NA,2695,0,4,0,0,0,0,1,0,0,0
7209,4179,2,24,14,4,1,NA,2553,0,7,0,0,0,1,0,0,0,0
7269,11692,2,52,18,3,0,NA,1867,0,8,0,0,0,0,0,0,0,1
7279,2240,2,59,20,6,0,NA,1705,0,2,0,0,1,0,0,0,0,0
7300,9789,2,36,14,1,1,NA,3385,1,5,0,0,0,0,0,0,1,0
7330,3474,2,25,12,7,1,NA,1580,1,1,1,0,0,0,0,0,0,0
