SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_9,adm2_7,adm2_3,adm2_1,adm2_8,adm2_2,adm2_5,adm2_4,adm2_6,adm2_10
195,5005,2,28,24,24,140,19.72,8.209999999999999,0,1,0,0,0,1,0,0,0,0,0,0
205,3516,1,45,23,77,212,14.43,11.450000000000001,0,5,0,0,0,0,0,0,1,0,0,0
211,6836,2,38,6,12,92,9.36,3.92,0,1,0,0,0,1,0,0,0,0,0,0
236,3374,2,48,30,13,31,3.57,2.779999999999999,0,2,0,0,0,0,0,1,0,0,0,0
254,3766,2,25,21,29,176,9.07,6.27,0,3,0,0,1,0,0,0,0,0,0,0
269,11629,2,35,27,18,139,17.2,7.82,0,1,0,0,0,1,0,0,0,0,0,0
271,4288,1,60,18,59,169,9.04,9.079999999999998,0,3,0,0,1,0,0,0,0,0,0,0
308,6061,2,23,3,1255,177,19.02,9.660000000000004,0,5,0,0,0,0,0,0,1,0,0,0
325,4767,2,30,24,32,94,5.09,5.339999999999999,0,6,0,0,0,0,0,0,0,0,1,0
335,9905,2,53,23,16,92,10.520000000000001,6.409999999999999,0,10,0,0,0,0,0,0,0,0,0,1
361,10054,1,21,26,26,266,9.98,6.989999999999999,0,2,0,0,0,0,0,1,0,0,0,0
389,2942,1,55,24,776,235,16.34,7.859999999999999,0,6,0,0,0,0,0,0,0,0,1,0
399,50,2,24,23,10,194,9.429999999999998,5.539999999999999,0,6,0,0,0,0,0,0,0,0,1,0
424,8676,2,27,16,34,352,22.500000000000004,13.65,0,9,1,0,0,0,0,0,0,0,0,0
425,413,2,76,19,92,79,7.72,4.53,0,8,0,0,0,0,1,0,0,0,0,0
427,3100,2,27,22,108,149,14.33,6.469999999999999,0,4,0,0,0,0,0,0,0,1,0,0
428,4236,2,20,26,302,382,38.02,15.869999999999997,0,1,0,0,0,1,0,0,0,0,0,0
440,11209,2,21,27,122,51,3.3,3.7299999999999995,0,3,0,0,1,0,0,0,0,0,0,0
447,2312,2,30,5,36,99,7.269999999999999,5.339999999999999,0,5,0,0,0,0,0,0,1,0,0,0
456,8790,1,33,15,101,321,23.629999999999995,9.479999999999999,0,8,0,0,0,0,1,0,0,0,0,0
460,682,2,45,25,32,197,11.440000000000001,6.76,0,1,0,0,0,1,0,0,0,0,0,0
470,226,1,68,21,15,89,7.4,3.98,0,3,0,0,1,0,0,0,0,0,0,0
476,4644,2,45,7,30,187,22.930000000000007,11.049999999999999,1,1,0,0,0,1,0,0,0,0,0,0
479,4107,1,23,13,84,330,11.73,9.07,0,3,0,0,1,0,0,0,0,0,0,0
493,841,2,45,9,28,113,8.95,6.779999999999999,0,7,0,1,0,0,0,0,0,0,0,0
516,6441,1,23,27,37,192,18.67,12.889999999999999,0,4,0,0,0,0,0,0,0,1,0,0
545,3374,1,60,30,15,53,6.52,4.53,0,2,0,0,0,0,0,1,0,0,0,0
551,1093,2,53,2,72,152,11.350000000000001,6.23,0,8,0,0,0,0,1,0,0,0,0,0
581,11756,2,35,2,34,177,19.700000000000003,11.499999999999998,0,1,0,0,0,1,0,0,0,0,0,0
594,5239,2,30,12,40,118,9.14,6.8100000000000005,0,7,0,1,0,0,0,0,0,0,0,0
601,9319,1,40,5,34,316,27.799999999999997,14.78,0,1,0,0,0,1,0,0,0,0,0,0
608,5678,1,19,26,13,94,3.57,2.6999999999999997,0,2,0,0,0,0,0,1,0,0,0,0
616,2933,2,31,21,1074,282,37.849999999999994,16.29,0,1,0,0,0,1,0,0,0,0,0,0
636,799,2,68,30,95,169,20.51,10,0,1,0,0,0,1,0,0,0,0,0,0
657,6631,2,34,2,290,188,11.76,7.58,0,1,0,0,0,1,0,0,0,0,0,0
659,11291,2,24,12,35,248,18.28,11.239999999999998,0,7,0,1,0,0,0,0,0,0,0,0
672,5607,2,38,29,48,142,9.12,6.18,0,5,0,0,0,0,0,0,1,0,0,0
687,6914,2,90,8,16,86,7.6,4.829999999999999,0,7,0,1,0,0,0,0,0,0,0,0
710,7126,2,45,6,65,216,16.080000000000002,8.82,0,5,0,0,0,0,0,0,1,0,0,0
720,7077,2,55,25,15,71,8.319999999999999,4.47,0,5,0,0,0,0,0,0,1,0,0,0
724,3994,2,45,17,269,112,15.81,8.540000000000001,0,2,0,0,0,0,0,1,0,0,0,0
731,9556,2,40,16,47,104,10.360000000000001,6.67,0,8,0,0,0,0,1,0,0,0,0,0
788,11074,2,42,23,380,130,8.44,3.5700000000000003,0,5,0,0,0,0,0,0,1,0,0,0
800,320,1,60,3,16,148,13.049999999999999,6.129999999999999,0,7,0,1,0,0,0,0,0,0,0,0
851,10808,2,55,22,653,153,13.139999999999999,5.959999999999999,0,4,0,0,0,0,0,0,0,1,0,0
863,9693,1,35,20,21,139,16.490000000000002,10.909999999999998,0,4,0,0,0,0,0,0,0,1,0,0
866,10330,2,18,7,9,97,7.64,4.51,1,9,1,0,0,0,0,0,0,0,0,0
876,11785,2,54,5,102,178,9.999999999999998,6.63,0,1,0,0,0,1,0,0,0,0,0,0
898,8387,2,60,8,18,128,11.309999999999999,6.859999999999999,0,6,0,0,0,0,0,0,0,0,1,0
900,10296,2,23,24,21,373,15.050000000000004,11.459999999999999,0,7,0,1,0,0,0,0,0,0,0,0
906,7647,2,38,28,11,101,7.919999999999999,5.199999999999999,0,7,0,1,0,0,0,0,0,0,0,0
921,3581,2,40,1,1190,209,26.539999999999996,9.600000000000001,1,1,0,0,0,1,0,0,0,0,0,0
