SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
27760,6609,1,25,16,5,NA,NA,1303,0,8,0,1,0,0,0,0,0,0,0,0,0
27793,7842,1,47,16,6,NA,NA,1972,0,5,0,0,0,0,0,0,0,0,0,0,1
27846,7377,1,67,21,7,NA,NA,948,1,8,0,1,0,0,0,0,0,0,0,0,0
27919,6117,1,34,18,2,NA,NA,1420,0,3,1,0,0,0,0,0,0,0,0,0,0
27994,9253,1,19,11,5,NA,NA,1175,0,10,0,0,0,0,0,0,0,0,1,0,0
28002,11821,1,75,14,5,NA,NA,2460,0,5,0,0,0,0,0,0,0,0,0,0,1
28033,1270,1,32,14,3,NA,NA,1782,0,4,0,0,0,0,0,0,1,0,0,0,0
28054,5818,1,75,11,4,NA,NA,1059,0,1,0,0,0,0,0,0,0,1,0,0,0
28059,10512,1,39,26,4,NA,NA,974,0,7,0,0,0,0,0,0,0,0,0,1,0
28107,8465,1,35,14,3,NA,NA,928,0,4,0,0,0,0,0,0,1,0,0,0,0
28136,7421,1,40,5,7,NA,NA,576,1,3,1,0,0,0,0,0,0,0,0,0,0
28144,3164,1,45,8,3,NA,NA,825,0,3,1,0,0,0,0,0,0,0,0,0,0
28145,1564,1,52,24,7,NA,NA,2365,1,4,0,0,0,0,0,0,1,0,0,0,0
28159,7776,1,49,19,3,NA,NA,2107,0,6,0,0,0,1,0,0,0,0,0,0,0
28195,7166,1,82,20,2,NA,NA,1490,0,2,0,0,0,0,0,1,0,0,0,0,0
28205,11569,1,36,16,4,NA,NA,1656,0,11,0,0,1,0,0,0,0,0,0,0,0
28223,7879,1,62,21,1,NA,NA,602,1,11,0,0,1,0,0,0,0,0,0,0,0
28316,5733,1,69,20,1,NA,NA,1834,1,11,0,0,1,0,0,0,0,0,0,0,0
28399,10129,1,29,15,3,NA,NA,1623,0,11,0,0,1,0,0,0,0,0,0,0,0
28466,5483,1,50,22,7,NA,NA,1744,1,7,0,0,0,0,0,0,0,0,0,1,0
28476,8522,1,40,5,7,NA,NA,2564,1,3,1,0,0,0,0,0,0,0,0,0,0
