SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_6,adm2_3,adm2_2,adm2_7,adm2_4,adm2_8,adm2_1,adm2_5
832,9450,1,30,9,4,NA,NA,2130,0,5,0,0,0,0,0,0,0,1
839,5926,1,59,23,2,NA,NA,2535,0,2,0,0,1,0,0,0,0,0
850,10994,1,60,31,2,NA,NA,1965,0,2,0,0,1,0,0,0,0,0
1067,2061,1,69,7,6,NA,NA,2953,0,4,0,0,0,0,1,0,0,0
1092,2796,1,53,16,6,NA,NA,1763,0,7,0,0,0,1,0,0,0,0
1103,9518,1,19,23,1,NA,NA,1997,1,2,0,0,1,0,0,0,0,0
1160,4447,1,25,12,4,NA,NA,1795,0,8,0,0,0,0,0,1,0,0
1175,10177,1,50,22,4,NA,NA,2219,0,3,0,1,0,0,0,0,0,0
1186,3269,1,30,21,5,NA,NA,2190,0,1,0,0,0,0,0,0,1,0
1194,9839,1,65,31,3,NA,NA,1518,0,3,0,1,0,0,0,0,0,0
1199,6480,1,22,24,5,NA,NA,927,0,3,0,1,0,0,0,0,0,0
1217,9236,1,22,21,5,NA,NA,2167,0,1,0,0,0,0,0,0,1,0
1237,4913,1,24,24,6,NA,NA,1870,0,4,0,0,0,0,1,0,0,0
1323,3895,1,38,27,7,NA,NA,2766,1,5,0,0,0,0,0,0,0,1
1359,2007,1,25,20,3,NA,NA,2732,0,7,0,0,0,1,0,0,0,0
1382,3631,1,18,23,5,NA,NA,2960,0,7,0,0,0,1,0,0,0,0
1404,9681,1,75,16,7,NA,NA,2479,1,7,0,0,0,1,0,0,0,0
1420,10108,1,35,24,5,NA,NA,3036,0,3,0,1,0,0,0,0,0,0
1439,1773,1,60,21,2,NA,NA,2240,0,3,0,1,0,0,0,0,0,0
1458,11678,1,18,8,7,NA,NA,1318,1,4,0,0,0,0,1,0,0,0
1474,1323,1,43,30,7,NA,NA,1948,1,4,0,0,0,0,1,0,0,0
1484,1159,1,46,20,1,NA,NA,914,1,3,0,1,0,0,0,0,0,0
1510,11208,1,18,25,4,NA,NA,2904,0,2,0,0,1,0,0,0,0,0
1536,11260,1,24,27,6,NA,NA,2049,0,3,0,1,0,0,0,0,0,0
1550,8956,1,25,25,3,NA,NA,3130,0,2,0,0,1,0,0,0,0,0
1567,10385,1,45,10,5,NA,NA,2952,0,1,0,0,0,0,0,0,1,0
1652,6588,1,19,25,4,NA,NA,1457,0,2,0,0,1,0,0,0,0,0
1723,10173,1,59,4,5,NA,NA,1469,0,4,0,0,0,0,1,0,0,0
1741,3196,1,36,7,2,NA,NA,2302,0,5,0,0,0,0,0,0,0,1
1745,8537,1,42,20,5,NA,NA,1871,0,8,0,0,0,0,0,1,0,0
1781,6759,1,35,24,4,NA,NA,4459,0,6,1,0,0,0,0,0,0,0
1785,9373,1,20,27,2,NA,NA,1144,0,6,1,0,0,0,0,0,0,0
1812,8287,1,60,19,7,NA,NA,2025,1,3,0,1,0,0,0,0,0,0
1909,5339,1,62,14,4,NA,NA,2209,0,7,0,0,0,1,0,0,0,0
2031,1947,1,20,8,5,NA,NA,2074,0,6,1,0,0,0,0,0,0,0
2047,3446,1,33,12,2,NA,NA,3158,0,6,1,0,0,0,0,0,0,0
2065,8652,1,26,24,5,NA,NA,2369,0,3,0,1,0,0,0,0,0,0
2066,11314,1,25,24,1,NA,NA,2678,1,1,0,0,0,0,0,0,1,0
2068,11532,1,24,27,5,NA,NA,2464,0,2,0,0,1,0,0,0,0,0
2100,4907,1,60,10,5,NA,NA,2095,0,1,0,0,0,0,0,0,1,0
2109,11264,1,23,18,2,NA,NA,2071,0,7,0,0,0,1,0,0,0,0
2149,6744,1,33,26,5,NA,NA,3487,0,3,0,1,0,0,0,0,0,0
2174,9850,1,40,26,6,NA,NA,883,0,6,1,0,0,0,0,0,0,0
2225,10562,1,30,17,4,NA,NA,2445,0,5,0,0,0,0,0,0,0,1
2255,9983,1,40,12,4,NA,NA,1770,0,8,0,0,0,0,0,1,0,0
2304,4595,1,30,18,2,NA,NA,2653,0,7,0,0,0,1,0,0,0,0
2313,3165,1,62,9,7,NA,NA,2120,1,8,0,0,0,0,0,1,0,0
2338,6546,1,45,16,1,NA,NA,2526,1,8,0,0,0,0,0,1,0,0
2352,8103,1,18,8,2,NA,NA,2037,0,1,0,0,0,0,0,0,1,0
2367,6261,1,30,15,5,NA,NA,627,0,7,0,0,0,1,0,0,0,0
2397,10983,1,28,16,7,NA,NA,951,1,1,0,0,0,0,0,0,1,0
2412,5427,1,32,26,4,NA,NA,2806,0,3,0,1,0,0,0,0,0,0
2460,482,1,80,14,5,NA,NA,1733,0,1,0,0,0,0,0,0,1,0
2508,4033,1,30,15,3,NA,NA,794,0,5,0,0,0,0,0,0,0,1
