SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
1708,2093,1,27,29,4,NA,NA,23,29,NA,NA,207,29,NA,NA,11.419999999999998,29,NA,NA,6.759999999999999,29,NA,NA,0,0,6,0,0,0,0,0,1,0,0,0,0,0
1731,10839,1,26,12,5,NA,NA,46,12,NA,NA,148,12,NA,NA,9.739999999999998,12,NA,NA,7.1000000000000005,12,NA,NA,0,0,5,0,0,0,1,0,0,0,0,0,0,0
1849,3972,1,42,17,5,NA,NA,15,17,NA,NA,194,17,NA,NA,8.219999999999999,17,NA,NA,6.1,17,NA,NA,4.28,0,10,0,0,0,0,0,0,0,1,0,0,0
1902,8540,1,65,25,6,NA,NA,132,25,NA,NA,126,25,NA,NA,8.180000000000001,25,NA,NA,5.98,25,NA,NA,0,0,8,0,0,0,0,0,0,0,0,1,0,0
1934,8423,1,20,12,6,NA,NA,240,12,NA,NA,186,12,NA,NA,13.88,12,NA,NA,8.02,12,NA,NA,5.84,0,3,0,0,1,0,0,0,0,0,0,0,0
1965,6697,1,55,27,3,NA,NA,108,27,NA,NA,201,27,NA,NA,15.25,27,NA,NA,8.540000000000001,27,NA,NA,0,0,5,0,0,0,1,0,0,0,0,0,0,0
1998,8486,1,23,10,4,NA,NA,118,10,NA,NA,184,10,NA,NA,10.969999999999997,10,NA,NA,8.77,10,NA,NA,0,0,3,0,0,1,0,0,0,0,0,0,0,0
2008,3608,1,19,13,6,NA,NA,127,13,NA,NA,182,13,NA,NA,11.799999999999999,13,NA,NA,7.44,13,NA,NA,0,0,5,0,0,0,1,0,0,0,0,0,0,0
2130,10001,1,20,5,6,NA,NA,86,5,NA,NA,158,5,NA,NA,10.71,5,NA,NA,7.1999999999999975,5,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2140,4899,1,60,24,5,NA,NA,528,24,NA,NA,150,24,NA,NA,17.36,24,NA,NA,6.909999999999998,24,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
