SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_2,adm2_7,adm2_10,adm2_5,adm2_6,adm2_4
26766,4075,1,19,2,9,64,9.7,4.659999999999999,0,0,1,0,0,1,0,0,0,0,0,0,0
26830,3075,1,55,19,78,201,23.150000000000002,14.269999999999998,5.640000000000001,0,4,0,0,0,0,0,0,0,0,0,1
26837,7317,1,65,22,1421,296,24.34,10.909999999999998,0,0,4,0,0,0,0,0,0,0,0,0,1
26857,1006,1,45,9,15,40,7.42,4.84,1.2364000000000002,0,10,0,0,0,0,0,0,1,0,0,0
26872,405,1,60,27,59,155,9.61,7.029999999999999,1.305,0,5,0,0,0,0,0,0,0,1,0,0
26888,5057,1,34,1,19,180,12.77,10.73,0,1,2,0,0,0,0,1,0,0,0,0,0
26892,1601,1,75,4,3,44,2.79,1.5,0.369,0,9,1,0,0,0,0,0,0,0,0,0
26925,788,1,26,9,126,118,27.660000000000004,11.079999999999998,4.146599999999999,0,10,0,0,0,0,0,0,1,0,0,0
26957,2804,1,45,11,15,154,11.33,8.229999999999997,0,0,10,0,0,0,0,0,0,1,0,0,0
26983,3190,1,61,20,10,105,5.68,6.819999999999999,0.243,0,3,0,1,0,0,0,0,0,0,0,0
27044,978,1,80,23,47,98,6.65,2.8400000000000003,0.369,0,6,0,0,0,0,0,0,0,0,1,0
27072,6270,1,49,21,36,343,48.69,20.900000000000002,0.63,0,1,0,0,1,0,0,0,0,0,0,0
27097,8387,1,65,8,16,118,10.399999999999999,6.219999999999999,0,0,6,0,0,0,0,0,0,0,0,1,0
27138,4281,1,21,12,2607,100,10.22,10.12,2.7270000000000003,0,10,0,0,0,0,0,0,1,0,0,0
27158,894,1,32,13,822,119,11.45,5.18,3.472,0,10,0,0,0,0,0,0,1,0,0,0
27216,6729,1,22,30,406,136,17.229999999999997,10.659999999999998,0.37800000000000006,0,1,0,0,1,0,0,0,0,0,0,0
27237,6499,1,19,9,38,103,8.360000000000001,5.7,0.315,0,7,0,0,0,0,0,1,0,0,0,0
27242,4743,1,55,29,52,253,19.840000000000003,10.28,1.6740000000000002,0,5,0,0,0,0,0,0,0,1,0,0
27278,1782,1,35,26,28,362,40.14000000000001,18.749999999999996,1.08,0,1,0,0,1,0,0,0,0,0,0,0
27288,8609,1,45,15,25,160,16.62,10.27,0,0,8,0,0,0,1,0,0,0,0,0,0
27378,5871,1,26,14,12,89,9.04,7.109999999999999,0,0,7,0,0,0,0,0,1,0,0,0,0
27408,2248,1,39,13,30,65,16.879999999999995,6.4,5.352,0,10,0,0,0,0,0,0,1,0,0,0
27413,123,1,25,8,44,392,37.08,18.470000000000002,0.126,0,6,0,0,0,0,0,0,0,0,1,0
27438,5533,1,30,30,77,221,14.9,11.769999999999998,0.369,0,7,0,0,0,0,0,1,0,0,0,0
27549,9321,1,32,1,20,297,30.51,18.68,0,1,8,0,0,0,1,0,0,0,0,0,0
27555,2831,1,70,21,7,28,3.64,3.52,0,0,10,0,0,0,0,0,0,1,0,0,0
27560,643,1,19,8,20,212,19.34,9.5,0,0,6,0,0,0,0,0,0,0,0,1,0
27570,5000,1,70,6,116,86,5.28,4.06,0.1035,0,5,0,0,0,0,0,0,0,1,0,0
27609,5935,1,25,14,33,153,12.109999999999998,9.479999999999999,0,0,7,0,0,0,0,0,1,0,0,0,0
27615,7228,1,60,20,23,638,21.14,7.22,26.547,0,8,0,0,0,1,0,0,0,0,0,0
27673,8808,1,38,2,19,195,14.809999999999999,8.34,0.207,0,5,0,0,0,0,0,0,0,1,0,0
27715,7277,1,65,5,1203,262,41.01999999999999,14.149999999999999,1.5655999999999999,0,5,0,0,0,0,0,0,0,1,0,0
27836,2438,1,60,30,64,284,20.060000000000002,9.83,0.7110000000000001,0,8,0,0,0,1,0,0,0,0,0,0
27914,11855,1,25,26,1024,188,22.86,7.9,0.7020000000000001,0,1,0,0,1,0,0,0,0,0,0,0
27926,4755,1,60,6,14,142,8.68,5.7299999999999995,0.738,0,9,1,0,0,0,0,0,0,0,0,0
27976,6008,1,46,6,43,237,26.519999999999996,13.309999999999999,1.1808,0,1,0,0,1,0,0,0,0,0,0,0
27981,1120,1,30,22,29,229,19.890000000000004,11.940000000000001,0.2493,0,4,0,0,0,0,0,0,0,0,0,1
28082,3637,1,30,23,12,86,6.72,3.6199999999999997,0.18,0,6,0,0,0,0,0,0,0,0,1,0
28095,3282,1,31,26,62,89,6.689999999999998,5.1899999999999995,0.1764,0,1,0,0,1,0,0,0,0,0,0,0
28302,11486,1,40,10,117,106,8.56,5.04,0.306,0,9,1,0,0,0,0,0,0,0,0,0
28315,10189,1,21,20,15,154,12.069999999999999,5.7299999999999995,0.243,0,8,0,0,0,1,0,0,0,0,0,0
28322,10597,1,62,3,55,142,12.13,7.09,0,0,9,1,0,0,0,0,0,0,0,0,0
28345,5646,1,35,2,25,95,16.8,15.92,7.05,0,6,0,0,0,0,0,0,0,0,1,0
28411,11640,1,50,16,82,90,8.62,5.89,0,0,3,0,1,0,0,0,0,0,0,0,0
28416,4006,1,30,4,20,282,19.41,10.219999999999999,0.37800000000000006,0,6,0,0,0,0,0,0,0,0,1,0
28467,5973,1,25,8,27,253,21.81,14.07,0,0,1,0,0,1,0,0,0,0,0,0,0
28491,6116,1,22,21,56,231,16.87,11.58,0.243,0,3,0,1,0,0,0,0,0,0,0,0
28595,2589,1,38,24,28,252,24.759999999999998,15.04,0.468,0,1,0,0,1,0,0,0,0,0,0,0
28745,9507,1,26,9,27,92,12.77,8.569999999999999,0,0,7,0,0,0,0,0,1,0,0,0,0
28761,11507,1,25,12,2029,90,7.89,8.989999999999998,2.4148000000000005,0,10,0,0,0,0,0,0,1,0,0,0
28801,5513,1,37,13,20,134,10.57,7.209999999999999,0,0,10,0,0,0,0,0,0,1,0,0,0
28807,4749,1,25,29,25,440,26.95,14.600000000000001,0.4554,0,1,0,0,1,0,0,0,0,0,0,0
28832,5637,1,42,17,20,224,21.77,13.109999999999998,1.449,0,9,1,0,0,0,0,0,0,0,0,0
28834,5521,1,60,21,33,264,24.049999999999997,12.299999999999999,0.5670000000000001,0,1,0,0,1,0,0,0,0,0,0,0
28846,4399,1,70,26,1000,339,35.74,14.52,2.205,0,1,0,0,1,0,0,0,0,0,0,0
28883,4767,1,35,24,32,94,5.09,5.34,0.1485,0,6,0,0,0,0,0,0,0,0,1,0
28958,6951,1,57,27,4,141,14.720000000000002,9.879999999999995,0.234,0,4,0,0,0,0,0,0,0,0,0,1
28973,9571,1,40,9,25,137,6.840000000000001,5.32,2.628,0,9,1,0,0,0,0,0,0,0,0,0
28978,2635,1,59,3,14,577,51.62,17.729999999999997,0.459,0,5,0,0,0,0,0,0,0,1,0,0
29017,9195,1,21,21,32,141,15.75,10.69,0.6075,0,4,0,0,0,0,0,0,0,0,0,1
29038,2267,1,49,5,216,127,19.679999999999996,6.79,0,0,5,0,0,0,0,0,0,0,1,0,0
29078,10335,1,58,18,45,394,28.91,13.889999999999999,0,0,1,0,0,1,0,0,0,0,0,0,0
29080,7884,1,30,20,18,85,7.359999999999999,5.239999999999999,0.2277,0,8,0,0,0,1,0,0,0,0,0,0
29173,10228,1,25,22,47,139,7.55,6.909999999999998,0,0,2,0,0,0,0,1,0,0,0,0,0
29194,1835,1,21,21,36,159,17.250000000000004,11.379999999999999,0.455,0,9,1,0,0,0,0,0,0,0,0,0
29215,7434,1,22,7,40,414,20.84,13.85,2.9160000000000004,1,9,1,0,0,0,0,0,0,0,0,0
29254,3137,1,30,25,22,127,21.69,9.949999999999998,3.2197000000000005,0,1,0,0,1,0,0,0,0,0,0,0
29314,531,1,24,8,50,172,14.77,10.11,0.45,0,7,0,0,0,0,0,1,0,0,0,0
29340,3126,1,60,13,22,78,3.8499999999999996,3.8399999999999985,0,0,3,0,1,0,0,0,0,0,0,0,0
29344,10808,1,23,22,1284,333,30.090000000000003,14.070000000000002,0,0,4,0,0,0,0,0,0,0,0,0,1
29431,1232,1,45,4,19,194,17.53,9.3,0.441,0,6,0,0,0,0,0,0,0,0,1,0
29446,11254,1,65,8,42,116,8.11,6.6000000000000005,1.076,0,7,0,0,0,0,0,1,0,0,0,0
29513,9516,1,46,4,30,213,15.529999999999998,8.799999999999999,0.495,0,5,0,0,0,0,0,0,0,1,0,0
29587,4448,1,19,20,23,155,12.61,9.6,0.252,0,2,0,0,0,0,1,0,0,0,0,0
29603,6837,1,48,20,15,145,14.18,7.919999999999999,0.5489999999999999,0,4,0,0,0,0,0,0,0,0,0,1
