SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_6,adm2_3,adm2_7,adm2_8,adm2_1,adm2_4,adm2_5
5067,8582,1,20,25,NA,NA,1496,0,5,0,0,0,0,0,0,0,1
5069,1066,1,30,12,NA,NA,1461,0,2,1,0,0,0,0,0,0,0
5089,3598,1,42,16,NA,NA,2280,0,4,0,0,0,0,0,0,1,0
5170,8901,1,42,14,NA,NA,3080,0,1,0,0,0,0,0,1,0,0
5279,4742,1,53,9,NA,NA,1222,0,8,0,0,0,0,1,0,0,0
5321,5598,1,35,22,NA,NA,1523,0,5,0,0,0,0,0,0,0,1
5336,847,1,23,23,NA,NA,1517,0,5,0,0,0,0,0,0,0,1
5386,4361,1,26,14,NA,NA,1477,0,8,0,0,0,0,1,0,0,0
5438,10291,1,30,20,NA,NA,1628,0,5,0,0,0,0,0,0,0,1
5511,9067,1,30,21,NA,NA,943,0,8,0,0,0,0,1,0,0,0
5552,10539,1,49,16,NA,NA,2030,0,3,0,0,1,0,0,0,0,0
5558,9831,1,20,29,NA,NA,1454,0,7,0,0,0,1,0,0,0,0
5596,400,1,47,29,NA,NA,1135,0,4,0,0,0,0,0,0,1,0
5598,8307,1,45,23,NA,NA,2070,0,3,0,0,1,0,0,0,0,0
5644,4670,1,30,28,NA,NA,2025,0,3,0,0,1,0,0,0,0,0
5660,4313,1,22,2,NA,NA,1334,0,6,0,1,0,0,0,0,0,0
5871,11012,1,44,7,NA,NA,1370,1,1,0,0,0,0,0,1,0,0
5879,11842,1,19,23,NA,NA,2110,0,7,0,0,0,1,0,0,0,0
5898,8502,1,40,14,NA,NA,1777,0,8,0,0,0,0,1,0,0,0
5973,8969,1,55,20,NA,NA,1733,0,8,0,0,0,0,1,0,0,0
5996,3042,1,75,13,NA,NA,1391,0,4,0,0,0,0,0,0,1,0
6071,9826,1,45,14,NA,NA,1836,0,2,1,0,0,0,0,0,0,0
6119,7467,1,28,9,NA,NA,1557,0,8,0,0,0,0,1,0,0,0
6155,1671,1,34,13,NA,NA,1744,0,1,0,0,0,0,0,1,0,0
6168,9569,1,65,24,NA,NA,1735,0,3,0,0,1,0,0,0,0,0
6170,6455,1,22,11,NA,NA,2309,0,1,0,0,0,0,0,1,0,0
6213,3805,1,19,12,NA,NA,2276,0,6,0,1,0,0,0,0,0,0
6222,7594,1,39,28,NA,NA,1621,0,3,0,0,1,0,0,0,0,0
6270,9866,1,55,5,NA,NA,1215,0,8,0,0,0,0,1,0,0,0
6283,11134,1,36,13,NA,NA,1582,0,7,0,0,0,1,0,0,0,0
6295,2914,1,41,25,NA,NA,1624,0,4,0,0,0,0,0,0,1,0
6320,4865,1,30,25,NA,NA,1602,0,7,0,0,0,1,0,0,0,0
6327,1730,1,40,22,NA,NA,2264,0,8,0,0,0,0,1,0,0,0
6357,4842,1,19,25,NA,NA,1963,0,4,0,0,0,0,0,0,1,0
6368,10355,1,52,13,NA,NA,1250,0,5,0,0,0,0,0,0,0,1
6411,1826,1,46,6,NA,NA,1519,0,3,0,0,1,0,0,0,0,0
6458,9604,1,45,28,NA,NA,1327,0,6,0,1,0,0,0,0,0,0
6510,11064,1,27,16,NA,NA,1506,0,5,0,0,0,0,0,0,0,1
6589,4250,1,20,1,NA,NA,1612,1,1,0,0,0,0,0,1,0,0
6595,4459,1,51,9,NA,NA,2213,0,4,0,0,0,0,0,0,1,0
6677,4548,1,38,30,NA,NA,1654,0,1,0,0,0,0,0,1,0,0
6691,4499,1,50,30,NA,NA,1343,0,6,0,1,0,0,0,0,0,0
6728,10348,1,41,6,NA,NA,2454,0,3,0,0,1,0,0,0,0,0
6772,5588,1,56,9,NA,NA,688,0,2,1,0,0,0,0,0,0,0
6784,3520,1,35,9,NA,NA,1319,0,2,1,0,0,0,0,0,0,0
6813,693,1,26,26,NA,NA,1639,0,7,0,0,0,1,0,0,0,0
6854,10905,1,55,22,NA,NA,1628,0,1,0,0,0,0,0,1,0,0
6871,1377,1,33,7,NA,NA,1095,1,1,0,0,0,0,0,1,0,0
6905,6804,1,38,12,NA,NA,1444,0,2,1,0,0,0,0,0,0,0
6909,1744,1,65,6,NA,NA,1517,0,6,0,1,0,0,0,0,0,0
6945,2296,1,40,30,NA,NA,1813,0,6,0,1,0,0,0,0,0,0
6963,6739,1,50,20,NA,NA,1679,0,5,0,0,0,0,0,0,0,1
7026,11519,1,37,26,NA,NA,1817,0,5,0,0,0,0,0,0,0,1
7080,8001,1,34,28,NA,NA,1906,0,3,0,0,1,0,0,0,0,0
7189,6512,1,30,26,NA,NA,1225,0,1,0,0,0,0,0,1,0,0
7199,9218,1,62,19,NA,NA,1905,0,3,0,0,1,0,0,0,0,0
7204,2569,1,61,6,NA,NA,1648,0,3,0,0,1,0,0,0,0,0
7213,3601,1,35,23,NA,NA,2283,0,3,0,0,1,0,0,0,0,0
7297,4875,1,31,6,NA,NA,1201,0,8,0,0,0,0,1,0,0,0
7317,11283,1,35,2,NA,NA,1576,0,3,0,0,1,0,0,0,0,0
7347,2501,1,38,12,NA,NA,932,0,8,0,0,0,0,1,0,0,0
7365,9878,1,22,7,NA,NA,1585,1,6,0,1,0,0,0,0,0,0
7368,7270,1,35,11,NA,NA,216,0,1,0,0,0,0,0,1,0,0
7456,2426,1,58,14,NA,NA,1875,0,1,0,0,0,0,0,1,0,0
7466,10467,1,25,16,NA,NA,1586,0,3,0,0,1,0,0,0,0,0
7488,9832,1,62,2,NA,NA,1335,0,1,0,0,0,0,0,1,0,0
7502,2006,1,60,13,NA,NA,1426,0,7,0,0,0,1,0,0,0,0
7505,11511,1,42,22,NA,NA,2067,0,5,0,0,0,0,0,0,0,1
7526,7099,1,34,13,NA,NA,1058,0,1,0,0,0,0,0,1,0,0
7678,5299,1,18,9,NA,NA,1839,0,1,0,0,0,0,0,1,0,0
7697,9745,1,40,23,NA,NA,1295,0,8,0,0,0,0,1,0,0,0
7716,2295,1,48,2,NA,NA,1450,0,3,0,0,1,0,0,0,0,0
7751,7982,1,18,14,NA,NA,1474,0,4,0,0,0,0,0,0,1,0
7756,4136,1,18,26,NA,NA,1238,0,5,0,0,0,0,0,0,0,1
7816,3509,1,70,25,NA,NA,717,0,7,0,0,0,1,0,0,0,0
7896,2156,1,28,17,NA,NA,1992,0,3,0,0,1,0,0,0,0,0
7925,7311,1,28,1,NA,NA,1935,1,3,0,0,1,0,0,0,0,0
7952,3684,1,39,22,NA,NA,2254,0,8,0,0,0,0,1,0,0,0
8025,6671,1,41,19,NA,NA,1621,0,7,0,0,0,1,0,0,0,0
8044,11562,1,30,23,NA,NA,1492,0,1,0,0,0,0,0,1,0,0
8049,6199,1,34,15,NA,NA,1506,0,4,0,0,0,0,0,0,1,0
8081,3461,1,60,26,NA,NA,1298,0,1,0,0,0,0,0,1,0,0
8179,4482,1,37,23,NA,NA,1800,0,7,0,0,0,1,0,0,0,0
8193,6304,1,40,25,NA,NA,1977,0,5,0,0,0,0,0,0,0,1
8207,4843,1,35,9,NA,NA,1382,0,8,0,0,0,0,1,0,0,0
8262,2524,1,26,26,NA,NA,1934,0,7,0,0,0,1,0,0,0,0
8301,1980,1,48,23,NA,NA,1462,0,8,0,0,0,0,1,0,0,0
8338,4782,1,18,12,NA,NA,1174,0,8,0,0,0,0,1,0,0,0
8341,11583,1,19,8,NA,NA,1843,0,6,0,1,0,0,0,0,0,0
8362,7751,1,47,23,NA,NA,1899,0,7,0,0,0,1,0,0,0,0
8369,3746,1,33,24,NA,NA,1770,0,4,0,0,0,0,0,0,1,0
