SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_2,adm2_7,adm2_10,adm2_5,adm2_6,adm2_4
1197,1603,1,65,6,NA,NA,1353,0,1,0,0,1,0,0,0,0,0,0,0
1249,2882,1,36,6,NA,NA,1716,0,9,1,0,0,0,0,0,0,0,0,0
1278,3191,1,42,9,NA,NA,1757,0,10,0,0,0,0,0,0,1,0,0,0
1303,4465,1,20,28,NA,NA,736,0,7,0,0,0,0,0,1,0,0,0,0
1345,9494,1,51,27,NA,NA,2229,0,3,0,1,0,0,0,0,0,0,0,0
1346,4819,1,20,27,NA,NA,1287,0,5,0,0,0,0,0,0,0,1,0,0
1395,4491,1,42,19,NA,NA,1373,0,1,0,0,1,0,0,0,0,0,0,0
1445,6075,1,28,14,NA,NA,1055,0,7,0,0,0,0,0,1,0,0,0,0
1452,5528,1,70,3,NA,NA,1527,0,9,1,0,0,0,0,0,0,0,0,0
1465,3854,1,36,5,NA,NA,1611,0,9,1,0,0,0,0,0,0,0,0,0
1480,4236,1,24,26,NA,NA,2233,0,1,0,0,1,0,0,0,0,0,0,0
1501,3137,1,63,25,NA,NA,1485,0,1,0,0,1,0,0,0,0,0,0,0
1539,6189,1,35,18,NA,NA,951,0,3,0,1,0,0,0,0,0,0,0,0
1601,2747,1,26,4,NA,NA,692,0,5,0,0,0,0,0,0,0,1,0,0
1608,2684,1,65,5,NA,NA,1097,0,5,0,0,0,0,0,0,0,1,0,0
1613,6893,1,37,8,NA,NA,965,0,7,0,0,0,0,0,1,0,0,0,0
1676,11826,1,35,22,NA,NA,2724,0,4,0,0,0,0,0,0,0,0,0,1
1687,7094,1,34,4,NA,NA,1312,0,1,0,0,1,0,0,0,0,0,0,0
1698,6446,1,18,28,NA,NA,1934,0,7,0,0,0,0,0,1,0,0,0,0
1704,589,1,22,15,NA,NA,1729,0,9,1,0,0,0,0,0,0,0,0,0
1773,3381,1,20,6,NA,NA,3298,0,6,0,0,0,0,0,0,0,0,1,0
1824,7760,1,49,21,NA,NA,1576,0,10,0,0,0,0,0,0,1,0,0,0
1831,610,1,34,7,NA,NA,1359,1,6,0,0,0,0,0,0,0,0,1,0
1836,388,1,33,11,NA,NA,2027,0,10,0,0,0,0,0,0,1,0,0,0
1851,8336,1,39,4,NA,NA,2765,0,5,0,0,0,0,0,0,0,1,0,0
1912,4381,1,55,15,NA,NA,2352,0,10,0,0,0,0,0,0,1,0,0,0
1945,11601,1,97,7,NA,NA,1080,1,9,1,0,0,0,0,0,0,0,0,0
1949,9746,1,19,13,NA,NA,1955,0,3,0,1,0,0,0,0,0,0,0,0
2064,481,1,40,20,NA,NA,1764,0,2,0,0,0,0,1,0,0,0,0,0
2071,5202,1,24,1,NA,NA,1723,1,2,0,0,0,0,1,0,0,0,0,0
2078,8,1,52,29,NA,NA,1503,0,3,0,1,0,0,0,0,0,0,0,0
