SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
21866,4695,1,35,18,81,6242,5.540000000000001,5.1499999999999995,28.831999999999997,0,2,0,0,0,0,0,1,0,0,0,0,0
21967,11759,1,47,18,40,3735,6.49,7.86,17.1614,0,2,0,0,0,0,0,1,0,0,0,0,0
22004,4246,1,46,16,58,1233,6.03,4.339999999999999,5.0138,0,8,0,1,0,0,0,0,0,0,0,0,0
22034,2671,1,40,24,61,109,15.689999999999996,9.82,2.64,0,11,0,0,1,0,0,0,0,0,0,0,0
22149,8696,1,39,23,77,1041,11.11,8.450000000000001,9.434249999999999,0,4,0,0,0,0,0,0,1,0,0,0,0
22156,9521,1,23,27,110,166,8.05,6.249999999999999,3.6625,0,7,0,0,0,0,0,0,0,0,0,1,0
22176,11594,1,30,8,23,98,8.05,2.5,6.218100000000001,0,6,0,0,0,1,0,0,0,0,0,0,0
22274,724,1,38,12,43,721,9.349999999999998,6.9,5.4,0,1,0,0,0,0,0,0,0,1,0,0,0
22330,5851,1,18,16,10,125,7.220000000000001,5.56,0,0,7,0,0,0,0,0,0,0,0,0,1,0
22354,9353,1,47,27,20,64,12.520000000000001,3.9400000000000004,3.1310000000000002,0,10,0,0,0,0,0,0,0,0,1,0,0
22368,5483,1,26,22,56,72,9.360000000000001,4.29,3.045,0,7,0,0,0,0,0,0,0,0,0,1,0
22369,1210,1,45,11,69,1041,13.76,9.449999999999998,8.83125,0,1,0,0,0,0,0,0,0,1,0,0,0
22406,11007,1,28,29,118,2515,11.31,7.249999999999998,11.699,0,8,0,1,0,0,0,0,0,0,0,0,0
22416,2499,1,38,19,116,235,18.11,10.919999999999996,6.395759999999999,0,11,0,0,1,0,0,0,0,0,0,0,0
22454,4950,1,27,20,1435,75,6.300000000000001,2.43,0,0,9,0,0,0,0,1,0,0,0,0,0,0
22455,10689,1,62,17,5021,308,19.909999999999997,10.2,3.33,0,5,0,0,0,0,0,0,0,0,0,0,1
22500,2104,1,49,9,16,2055,4.829999999999999,4.329999999999999,9.434,0,6,0,0,0,1,0,0,0,0,0,0,0
22515,5640,1,55,19,33,1454,9.59,6.449999999999999,6.6772,0,6,0,0,0,1,0,0,0,0,0,0,0
22536,1976,1,24,11,13,1093,4.42,3.52,5.2942,0,10,0,0,0,0,0,0,0,0,1,0,0
22574,7891,1,47,24,87,5662,9.35,6.68,26.1078,0,9,0,0,0,0,1,0,0,0,0,0,0
22584,6001,1,39,19,179,1320,28.15,19.219999999999995,11.709,0,2,0,0,0,0,0,1,0,0,0,0,0
22600,6324,1,44,19,45,992,13.54,8.379999999999999,7.32375,0,11,0,0,1,0,0,0,0,0,0,0,0
22626,7692,1,42,17,57,1835,11.2,8.02,8.246,0,3,1,0,0,0,0,0,0,0,0,0,0
22638,7320,1,48,24,108,171,8,7.72,4.4634,0,7,0,0,0,0,0,0,0,0,0,1,0
22644,8382,1,62,19,11,332,5.47,1.94,2.97675,0,11,0,0,1,0,0,0,0,0,0,0,0
22666,3703,1,42,20,22,798,6.03,5.16,6.642,0,2,0,0,0,0,0,1,0,0,0,0,0
22778,1001,1,46,22,39,2636,6.15,5.419999999999999,12.262500000000001,0,6,0,0,0,1,0,0,0,0,0,0,0
22842,554,1,65,18,29,924,3.8099999999999996,2.3000000000000003,3.890200000000001,0,8,0,1,0,0,0,0,0,0,0,0,0
22844,2954,1,47,18,5,109,8.54,6.249999999999999,0.9,0,1,0,0,0,0,0,0,0,1,0,0,0
22858,6139,1,28,22,23,369,3.9699999999999998,3.0299999999999994,4.3047,0,6,0,0,0,1,0,0,0,0,0,0,0
22896,9134,1,60,30,21,316,9.540000000000001,7.75,3.21,0,2,0,0,0,0,0,1,0,0,0,0,0
22898,11078,1,38,18,458,1170,8.27,6.999999999999999,9.855,0,8,0,1,0,0,0,0,0,0,0,0,0
22919,1630,1,88,10,48,135,6.65,4.1899999999999995,0.29969999999999997,0,9,0,0,0,0,1,0,0,0,0,0,0
22980,6890,1,56,24,123,257,11.659999999999998,10.479999999999999,5.7852,0,4,0,0,0,0,0,0,1,0,0,0,0
23033,6576,1,64,19,36,153,7.16,4.85,1.4994,0,11,0,0,1,0,0,0,0,0,0,0,0
23057,3138,1,27,3,144,241,16.83,9.199999999999998,5.823,0,3,1,0,0,0,0,0,0,0,0,0,0
23131,2402,1,26,8,50,1991,15.05,7.84,8.374,0,10,0,0,0,0,0,0,0,0,1,0,0
23169,3449,1,23,30,124,562,19.9,8.69,20.6194,0,2,0,0,0,0,0,1,0,0,0,0,0
23245,2229,1,82,20,21,439,3.6799999999999997,2.9000000000000004,4.1148,0,2,0,0,0,0,0,1,0,0,0,0,0
23287,2168,1,74,8,8,25,9.329999999999998,1.9400000000000002,2.882000000000001,0,10,0,0,0,0,0,0,0,0,1,0,0
23302,11745,1,19,14,35,233,6.499999999999999,3.96,9.587399999999999,0,5,0,0,0,0,0,0,0,0,0,0,1
23312,11434,1,67,28,185,249,10.79,6.67,0.09,0,1,0,0,0,0,0,0,0,1,0,0,0
23420,2172,1,66,4,1579,299,29.89,16.24,1.1988,0,6,0,0,0,1,0,0,0,0,0,0,0
23506,2036,1,44,26,32,1521,8.73,6.92,7.246200000000001,0,7,0,0,0,0,0,0,0,0,0,1,0
23625,7179,1,43,20,35,2589,9.560000000000002,7.969999999999999,11.7554,0,2,0,0,0,0,0,1,0,0,0,0,0
23677,3355,1,74,24,113,255,15.34,8.55,2.628,0,7,0,0,0,0,0,0,0,0,0,1,0
23718,2024,1,63,12,19,783,6.25,5.51,3.6300000000000003,0,1,0,0,0,0,0,0,0,1,0,0,0
