SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_1,adm2_7,adm2_4,adm2_10,adm2_9,adm2_2,adm2_6,adm2_11,adm2_5,adm2_8,adm2_3
26802,231,2,23,18,238,169,11.910000000000004,7.420000000000001,0,0,9,0,0,0,0,1,0,0,0,0,0,0
26803,7613,2,25,19,42,98,6.960000000000001,4.6899999999999995,0,0,8,0,0,0,0,0,0,0,0,0,1,0
26806,7608,2,41,18,1117,182,13.09,8.239999999999998,0,0,8,0,0,0,0,0,0,0,0,0,1,0
26844,6047,2,55,10,1310,141,8.38,7.550000000000001,3.72,0,9,0,0,0,0,1,0,0,0,0,0,0
26848,11729,2,29,18,77,185,19.97,12.51,0,0,7,0,1,0,0,0,0,0,0,0,0,0
26849,10839,2,45,12,46,151,11.200000000000003,7.680000000000001,0.37800000000000006,0,5,0,0,0,0,0,0,0,0,1,0,0
26890,2176,2,70,9,350,240,8.11,5.770000000000001,0,0,1,1,0,0,0,0,0,0,0,0,0,0
26949,11716,2,48,15,536,145,12.07,6.39,3.96,0,10,0,0,0,1,0,0,0,0,0,0,0
26964,4780,2,30,24,12,109,9.610000000000001,6.139999999999999,0.594,0,6,0,0,0,0,0,0,1,0,0,0,0
26976,4326,2,35,24,5904,200,28.3,10.669999999999998,5.154,0,2,0,0,0,0,0,1,0,0,0,0,0
27017,8010,2,26,23,131,228,13.59,8.09,0,0,2,0,0,0,0,0,1,0,0,0,0,0
27030,359,2,18,18,572,108,16.39,6.779999999999999,0,0,4,0,0,1,0,0,0,0,0,0,0,0
27082,6737,2,40,23,198,147,8.92,7.37,0,0,5,0,0,0,0,0,0,0,0,1,0,0
27083,11165,2,46,13,1,84,11.879999999999999,5.68,1.166,0,1,1,0,0,0,0,0,0,0,0,0,0
27111,10290,2,45,3,34,192,11.009999999999998,7.32,0,0,7,0,1,0,0,0,0,0,0,0,0,0
27123,6924,2,38,13,77,212,8.94,7.43,0,0,11,0,0,0,0,0,0,0,1,0,0,0
27145,2266,2,45,20,956,209,32.87,11.17,0,0,8,0,0,0,0,0,0,0,0,0,1,0
