SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_5,adm2_2,adm2_8,adm2_4,adm2_7,adm2_6,adm2_3
5520,7153,1,21,11,NA,NA,1219,0,5,0,1,0,0,0,0,0,0
5567,2604,1,24,8,NA,NA,1599,0,2,0,0,1,0,0,0,0,0
5576,6580,1,25,14,NA,NA,2287,0,1,1,0,0,0,0,0,0,0
5601,1916,1,70,14,NA,NA,1664,0,4,0,0,0,0,1,0,0,0
5603,5738,1,34,16,NA,NA,2360,0,1,1,0,0,0,0,0,0,0
5608,7996,1,80,8,NA,NA,2247,0,7,0,0,0,0,0,1,0,0
5649,10765,1,18,22,NA,NA,1868,0,4,0,0,0,0,1,0,0,0
5681,2355,1,50,1,NA,NA,1715,1,3,0,0,0,0,0,0,0,1
5683,7939,1,45,21,NA,NA,1767,0,4,0,0,0,0,1,0,0,0
5702,4561,1,40,1,NA,NA,1410,1,3,0,0,0,0,0,0,0,1
5791,11740,1,27,14,NA,NA,1667,0,5,0,1,0,0,0,0,0,0
5836,5466,1,24,16,NA,NA,2312,0,1,1,0,0,0,0,0,0,0
5840,3859,1,31,23,NA,NA,1872,0,6,0,0,0,0,0,0,1,0
5851,794,1,50,23,NA,NA,2379,0,2,0,0,1,0,0,0,0,0
6034,4995,1,23,22,NA,NA,1405,0,2,0,0,1,0,0,0,0,0
6051,8862,1,44,9,NA,NA,2016,0,7,0,0,0,0,0,1,0,0
6065,11709,1,40,14,NA,NA,2568,0,1,1,0,0,0,0,0,0,0
6285,9108,1,80,25,NA,NA,1785,0,4,0,0,0,0,1,0,0,0
6301,3607,1,46,27,NA,NA,240,0,2,0,0,1,0,0,0,0,0
6328,4750,1,22,19,NA,NA,2094,0,5,0,1,0,0,0,0,0,0
6403,10044,1,30,16,NA,NA,1973,0,5,0,1,0,0,0,0,0,0
6438,5669,1,25,18,NA,NA,1851,0,4,0,0,0,0,1,0,0,0
6440,6263,1,60,31,NA,NA,1961,0,3,0,0,0,0,0,0,0,1
6504,9648,1,25,25,NA,NA,1874,0,1,1,0,0,0,0,0,0,0
6568,2050,1,18,22,NA,NA,1967,0,2,0,0,1,0,0,0,0,0
6569,11866,1,38,11,NA,NA,1136,0,3,0,0,0,0,0,0,0,1
6609,9747,1,50,21,NA,NA,1629,0,3,0,0,0,0,0,0,0,1
6751,4568,1,50,20,NA,NA,1681,0,4,0,0,0,0,1,0,0,0
6762,11140,1,29,22,NA,NA,2098,0,2,0,0,1,0,0,0,0,0
6849,10262,1,26,19,NA,NA,2563,0,4,0,0,0,0,1,0,0,0
6904,3399,1,19,11,NA,NA,1552,0,5,0,1,0,0,0,0,0,0
6971,2604,1,48,8,NA,NA,1599,0,2,0,0,1,0,0,0,0,0
6984,10749,1,25,14,NA,NA,1901,0,1,1,0,0,0,0,0,0,0
6987,3360,1,30,20,NA,NA,2310,0,2,0,0,1,0,0,0,0,0
7051,1369,1,51,17,NA,NA,2547,0,4,0,0,0,0,1,0,0,0
7103,3251,1,55,25,NA,NA,1652,0,1,1,0,0,0,0,0,0,0
7120,4851,1,25,17,NA,NA,2632,0,7,0,0,0,0,0,1,0,0
7139,11715,1,65,30,NA,NA,2147,0,5,0,1,0,0,0,0,0,0
7201,8141,1,25,23,NA,NA,1657,0,2,0,0,1,0,0,0,0,0
7259,3245,1,40,20,NA,NA,2262,0,2,0,0,1,0,0,0,0,0
7281,1027,1,36,22,NA,NA,1769,0,2,0,0,1,0,0,0,0,0
7411,2963,1,19,24,NA,NA,2187,0,2,0,0,1,0,0,0,0,0
7565,8701,1,25,17,NA,NA,1926,0,4,0,0,0,0,1,0,0,0
7609,431,1,45,22,NA,NA,2441,0,4,0,0,0,0,1,0,0,0
7732,919,1,43,27,NA,NA,1465,0,5,0,1,0,0,0,0,0,0
