SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_7,adm2_9,adm2_5,adm2_4,adm2_6,adm2_1,adm2_3,adm2_8,adm2_2,adm2_10
32907,6484,2,80,10,93,166,11.450000000000001,6.09,NA,0,9,0,1,0,0,0,0,0,0,0,0
32921,8250,2,22,14,20,140,10.170000000000002,7.720000000000001,NA,0,7,1,0,0,0,0,0,0,0,0,0
32931,8832,2,30,6,47,285,22.049999999999997,15.620000000000001,NA,0,6,0,0,0,0,1,0,0,0,0,0
32935,5601,2,18,21,39,76,8.55,7.889999999999998,NA,0,5,0,0,1,0,0,0,0,0,0,0
32941,763,2,49,1,24,133,12.18,6.41,NA,1,2,0,0,0,0,0,0,0,0,1,0
32943,6104,2,49,27,12,155,17.49,12.129999999999999,NA,0,4,0,0,0,1,0,0,0,0,0,0
33022,2079,2,30,6,12,93,8.959999999999999,6.300000000000001,NA,0,7,1,0,0,0,0,0,0,0,0,0
33034,4914,2,46,2,5,90,7.209999999999999,6.279999999999999,NA,0,2,0,0,0,0,0,0,0,0,1,0
33041,9434,2,60,14,25,251,13.25,8.29,NA,0,7,1,0,0,0,0,0,0,0,0,0
33052,6133,2,35,6,6,96,9.110000000000003,4.839999999999999,NA,0,6,0,0,0,0,1,0,0,0,0,0
33063,7434,2,18,7,26,272,13.63,9.149999999999999,NA,1,9,0,1,0,0,0,0,0,0,0,0
33071,10377,2,70,8,20,141,9.920000000000002,4.869999999999999,NA,0,9,0,1,0,0,0,0,0,0,0,0
33121,11043,2,42,6,21,204,24.28,12.119999999999997,NA,0,1,0,0,0,0,0,1,0,0,0,0
33129,10391,2,50,14,15,104,8.12,6.96,NA,0,3,0,0,0,0,0,0,1,0,0,0
33155,5863,2,60,22,63,132,10.809999999999999,6.269999999999999,NA,0,4,0,0,0,1,0,0,0,0,0,0
33193,1764,2,21,3,92,133,11.85,7.119999999999999,NA,0,2,0,0,0,0,0,0,0,0,1,0
33218,10515,2,28,3,12,142,12.01,7.3100000000000005,NA,0,5,0,0,1,0,0,0,0,0,0,0
33220,2008,2,23,22,9,73,5.819999999999999,4.299999999999999,NA,0,7,1,0,0,0,0,0,0,0,0,0
33240,4176,2,30,5,40,239,13.16,8.96,NA,0,9,0,1,0,0,0,0,0,0,0,0
33257,5773,2,35,8,16,145,14.55,10.699999999999996,NA,0,1,0,0,0,0,0,1,0,0,0,0
33276,968,2,34,13,97,57,7.03,4.5200000000000005,NA,0,10,0,0,0,0,0,0,0,0,0,1
33300,9356,2,35,20,918,83,29.240000000000002,6.47,NA,0,3,0,0,0,0,0,0,1,0,0,0
33341,207,2,65,8,316,205,24.990000000000002,10.02,NA,0,6,0,0,0,0,1,0,0,0,0,0
33353,9727,2,40,8,13,80,6.88,3.9699999999999993,NA,0,9,0,1,0,0,0,0,0,0,0,0
33389,802,2,35,5,959,151,12.319999999999999,7.089999999999999,NA,0,5,0,0,1,0,0,0,0,0,0,0
33407,10364,2,28,26,1671,231,23.699999999999992,8.629999999999999,NA,0,1,0,0,0,0,0,1,0,0,0,0
33421,3073,2,30,9,7,70,8.510000000000002,5.9799999999999995,NA,0,9,0,1,0,0,0,0,0,0,0,0
33437,2686,2,31,30,79,106,5.970000000000001,5.319999999999999,NA,0,2,0,0,0,0,0,0,0,0,1,0
