SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_1,adm2_6,adm2_2,adm2_7,adm2_4,adm2_3,adm2_5,adm2_8
1575,8273,2,44,13,3,104,9.729999999999997,7.449999999999999,NA,0,8,0,0,0,0,0,0,0,1
1582,10190,2,40,20,167,162,10.12,5.899999999999999,NA,0,3,0,0,0,0,0,1,0,0
1590,11720,2,32,11,340,224,4.529999999999999,4.23,NA,0,5,0,0,0,0,0,0,1,0
1666,4314,2,56,26,81,129,19.58,11.149999999999997,NA,0,1,1,0,0,0,0,0,0,0
1672,1608,2,62,25,194,153,5.77,4.17,NA,0,2,0,0,1,0,0,0,0,0
1735,6588,2,20,25,104,139,5.53,5.129999999999998,NA,0,2,0,0,1,0,0,0,0,0
1736,1262,2,47,16,91,134,10.459999999999999,10.16,NA,0,7,0,0,0,1,0,0,0,0
1743,2845,2,40,19,239,223,10,10.11,NA,0,2,0,0,1,0,0,0,0,0
1758,7669,2,30,25,10,61,2.22,1.5300000000000002,NA,0,7,0,0,0,1,0,0,0,0
1774,9200,2,50,20,121,159,18.549999999999997,9.479999999999999,NA,0,3,0,0,0,0,0,1,0,0
1860,9914,2,35,18,11,35,3.3299999999999996,3.5599999999999996,NA,0,7,0,0,0,1,0,0,0,0
1898,11813,2,42,16,185,84,4.42,4.779999999999999,NA,0,1,1,0,0,0,0,0,0,0
1901,11534,2,65,14,188,195,7.079999999999999,5.8,NA,0,7,0,0,0,1,0,0,0,0
1917,3625,2,35,16,125,72,4.25,3.84,NA,0,3,0,0,0,0,0,1,0,0
1952,4425,2,25,12,7,138,7.61,8.229999999999999,NA,0,6,0,1,0,0,0,0,0,0
1955,6062,2,40,13,274,229,9.49,9.159999999999998,NA,0,8,0,0,0,0,0,0,0,1
1974,7505,2,49,26,54,168,12.649999999999997,9.939999999999996,NA,0,1,1,0,0,0,0,0,0,0
2063,10903,2,20,30,169,202,6.129999999999999,5.369999999999999,NA,0,4,0,0,0,0,1,0,0,0
2080,8242,2,39,23,0,54,4.03,6.53,NA,0,1,1,0,0,0,0,0,0,0
2121,9262,2,22,30,3,62,3.8499999999999996,5.519999999999999,NA,0,4,0,0,0,0,1,0,0,0
2163,4401,2,38,16,182,141,7.6,6.75,NA,0,1,1,0,0,0,0,0,0,0
2165,3888,2,19,25,112,86,4.970000000000001,5.3599999999999985,NA,0,3,0,0,0,0,0,1,0,0
2177,8512,2,59,13,18,25,2.0300000000000002,1.49,NA,0,8,0,0,0,0,0,0,0,1
2252,6327,2,55,27,326,97,8.780000000000001,5.749999999999999,NA,0,3,0,0,0,0,0,1,0,0
2294,2587,2,35,9,5,37,4.989999999999999,3.8999999999999995,NA,0,5,0,0,0,0,0,0,1,0
2315,6915,2,38,16,73,82,6.96,5.92,NA,0,8,0,0,0,0,0,0,0,1
2330,8721,2,36,14,34,318,10.770000000000001,9.83,NA,0,7,0,0,0,1,0,0,0,0
2341,7473,2,21,1,224,92,4.65,5.72,NA,1,4,0,0,0,0,1,0,0,0
2342,7075,2,33,6,690,125,5.359999999999999,4.72,NA,0,4,0,0,0,0,1,0,0,0
2378,6126,2,50,9,70,63,3.2899999999999996,3.5499999999999994,NA,0,5,0,0,0,0,0,0,1,0
2398,3437,2,55,31,243,138,6.69,8.23,NA,0,2,0,0,1,0,0,0,0,0
2402,552,2,40,3,6524,223,17.150000000000006,15.399999999999999,NA,0,4,0,0,0,0,1,0,0,0
2408,9137,2,27,18,25,779,27.489999999999995,16.159999999999997,NA,0,7,0,0,0,1,0,0,0,0
2461,5681,2,53,16,78,139,7.21,10,NA,0,7,0,0,0,1,0,0,0,0
2462,10205,2,18,15,8,42,5.15,4.699999999999999,NA,0,8,0,0,0,0,0,0,0,1
2473,545,2,35,11,86,85,5.7,5.209999999999998,NA,0,5,0,0,0,0,0,0,1,0
2520,8512,2,21,13,73,168,9.920000000000002,6.889999999999999,NA,0,8,0,0,0,0,0,0,0,1
2566,8293,2,30,27,92,78,6.3599999999999985,5.300000000000001,NA,0,2,0,0,1,0,0,0,0,0
2592,9243,2,27,15,114,171,12.089999999999998,9.729999999999999,NA,0,5,0,0,0,0,0,0,1,0
2684,3165,2,50,9,145,210,8.629999999999999,6.999999999999999,NA,0,8,0,0,0,0,0,0,0,1
2768,209,2,21,17,210,95,6.57,7.3500000000000005,NA,0,5,0,0,0,0,0,0,1,0
2774,1729,2,28,22,33,150,9.570000000000002,7.08,NA,0,6,0,1,0,0,0,0,0,0
2783,8255,2,22,26,67,108,6.109999999999999,8.22,NA,0,4,0,0,0,0,1,0,0,0
2810,8076,2,45,31,22,66,4.01,4.46,NA,0,4,0,0,0,0,1,0,0,0
2823,7051,2,60,24,79,89,5.9799999999999995,4.170000000000001,NA,0,8,0,0,0,0,0,0,0,1
2832,7951,2,36,25,312,181,13.29,8.879999999999999,NA,0,6,0,1,0,0,0,0,0,0
2850,66,2,57,18,134,118,5.52,5.05,NA,0,8,0,0,0,0,0,0,0,1
